BOM ID Number,Total Cost,Part Name,Functional Description
106,$9.53 ,Utility Knife,"Shop knife to open packages and break down cartons; blades are consumed in routine operations. Retractable All Metal Heavy Duty Box Cutter, Quick Change Blade Razor Knife, with 10 Extra Blades, WORKPRO, Premium "
107,$22.25 ,Energy Monitoring Smart Plug,"Monitors machine energy use and schedules loads; durable monitoring device used continuously. Emporia WiFi Smart Outlet Plug Works with Alexa and Google Home - 15a WiFi Outlet with Timer, Mobile App, Home Energy Monitor, Scheduling - 2.4ghz WiFi Only (2 Pack)"
108,$17.16 ,Label Tape,"Consumable laminated tape to produce durable bin/drawer/equipment labels for fast identification.  Labelife 5-Pack TZe-221, TZe, TZ, Tape, 9mm, 0.35 Laminated White Label Tape, Replace for Brother P Touch 9mm Label Maker Tape TZe221 for Brother PT-D210 PT-D220 PT-D200 PT-H110 PT-D400 PT-D610BT"
109,$58.29 ,Portable Label Maker Bundle,"Durable labeling tool enabling multi-year production of standardized labels for parts, bins, and fixtures. Brother P-Touch, PTH110BP, Easy , (4 Label Tapes Included), White, Small"
110,$294.44 , Electronic compact balance ,"Precision scale for shellac mass measurements to support costing, lead-time, and finish planning.  EJ-123 AND 120g x 1mg Readability, draft shield standard"
111,$264.99 ,Bin Rack,"Long-lived storage infrastructure that organizes inventory for rapid retrieval and traceability.  Solid Steel Wire Shelving Storage Unit, Patented Organizer for Garage, Warehouse, Office, Restaurant, Classroom, Kitchen, Gray, Includes 21 Bins, Seville Classics Heavy Duty NSF "
112,$10.58 ,Microfiber Cleaning Cloth,"Low-cost wipes to keep steamer/benchtop dry and prevent shorting; consumed in cleaning. MagicFiber, 6 Pack - Premium Cloth for Glasses, Lens, Screens & More"
113,$63.59 ,Electric Air Blower,"Reusable blower to clear laser honeycomb bed and alignment gauges, maintaining cleanliness for precise engraving. Compressed Air Duster-4 Gear Adjustable 200,000RPM Storm, Rechargeable Cordless Cleaner for Keyboard, PC, Electric Devices Cleaning, Replace Canned Air Compressed Air Cans - Black"
114,$146.27 ,Cordless Handheld Vacuum,"Durable vacuum for ongoing work-area maintenance—removes dust/debris/liquids to protect equipment. DEWALT 20V Vacuum, HEPA, Battery Not Included (DCV501HB)"
115,$154.75 ,Machinists' Level,"Precision alignment tool to level rotary roller and laser X-axis, reducing engraving error.  Starrett, Ground and Graduated Main Vial - Ideal for Machine Shop and Tool Room Use - 4"" (100mm) Length, Without Case and Cross Test Vial - 98-4"
116,$22.25 ,Ridgid Shop Vac Filter,"Replacement filters consumed during routine vacuum maintenance to retain suction and air quality. 2-Pack VF3500, 4 Gallon 4.5/3 Gal Wet Dry Vacuums, 3-Layer Replacement Filter Compatible with Ridgid Portable Vacuum WD3050, WD4070, WD4080, WD4522, 4000RV, 4500RV"
117,$237.55 ,Chop and Miter Saw,"Capital tool for precision cutting of keystone dowels; compact footprint for controlled, low-waste cuts.  PROXXON, KGS 80, 37160 , Green"
118,$20.51 ,Crosscut saw blade,"Wear part for the miter saw; consumable cutting tooling replaced as needed. Proxxon 28731,  Super-Cut for FKS/E, FET & KGS 80, 80 teeth, Silver"
119,$8.47 ,Christmas Ornament Hooks ,"Low-cost hangers used during shellac dipping/finishing to suspend ribs for even coating and drip-off. Elevate Essentials Silver, Ornament Hangers - Large 2.5 inch 200ct"
120,$174.89 ,Calibration Weight Kit,"Durable calibration standards for the precision balance to ensure accurate shellac mass logging. Goetland Certificated F1 Scale,  Set 25 pcs 1mg-1kg Stainless Steel High Precision for Balance Digital Scale Lab Education "
121,$15.89 ,Calibration Weight Kit,"Same—reusable standards to routinely verify balance accuracy over a wide range. Fuzion, 210g, M1 Class 9 PCS Stainless Steel Scale Calibration Weight Kit, 1g 2g 5g 10g 20g 50g 100g Calibration Weight with Storage Box, Tweezers for Digital Scale, Gram Scale"
122,$159.00 ,Electronic toploading balance (returned - no longer used),"Production scale used continuously to plan shellac consumption and finishing takt. A&D Engineering EJ-200 Newton Compact, LCD Display, 110mm Pan, +/-0.01g Linearity, 210g Capacity, 0.01g Readability"
123,$62.52 ,Granite Surface Plate,"Long-life inspection reference for straightness/flatness checks of dowels and alignment tools. WOODRIVER, 6"" x 18"" x 2"" A Grade"
124,$42.39 ,Ring Indoor Cam,"Long-lived security camera for studio access monitoring; supports protection of assets. (2nd Gen), latest generation, 2023 release, 1080p HD Video & Color Night Vision, Two-Way Talk, and Manual Audio & Video Privacy Cover, Black"
125,$9.00 ,USB Fan,"Durable enclosure fan directing airflow toward exhaust in laser cabinet to aid particulate removal. Gaiatop  5.5 Inch Small Quiet Powerful 3 Speeds 90° Rotate, Personal Mini Portable Desktop Table Fans, Cooling for Home Office Car Travel Indoor Outdoor, Black, Desk "
126,$26.69 ,"Wood Dowel Rods, Walnut","Raw stock consumed to machine keystones/bonding cores with precise perpendicularity and low runout. 36"" x 1"""
127,$15.88 ,"Wood Dowel Rods, Walnut","Same—consumable dowel stock for smaller keystone geometries. 36"" x 1/2"""
128,$17.80 ,"Wood Dowel Rods, Walnut","Same—consumable dowel stock sized for alternate keystone variants. 36"" x 3/4"""
129,$37.09 ,Wireless Keyboard and Mouse ,"Reusable computer peripherals for ergonomic data entry and design control; multi-year workstation asset. Logitech MK335, Combo - Black/Silver"
130,$413.39 ,Rolling Cabinet Workbench Table,"Durable mobile workstation/storage that stages tools and parts; supports shaping/assembly over many periods. Seville Classics UltraHD Heavy Duty   w/Solid Wood Top Workstation for Garage, Office, Workshop, 6-Drawer (28"" W x 25"" D), Granite"
131,$68.89 ,Mini Miter Cut-Off Chop Saw,"Capital cutting tool for repeatable, precise keystone/stock cuts; enables tight tolerances over time.  JOUNJIP, Hobby Miniature Model Making, Arrow Shafts, Zinc Stained Glass Came, 223/5.56 Brass - Cuts Max. 1/2""High x 1/2""Wide or 1/4""H x 3/4""W"
132,$190.79 ,Rotary Chuck,"Long-life engraving accessory to index/rotate cylindrical fixtures so rib engraves align accurately.  SCULPFUN RA Pro, Laser Engraver, 3 in 1 Multi-function Laser Rotary Module with 180° Adjustable Angle, Y-axis Jaw Chuck Rotary for Engraving Cylindrical Objects,Tumbler, Ring"
133,$14.82 ,USB Fan,"Dedicated airflow assist inside laser enclosure to guide particulates toward exhaust; durable accessory tied to enclosure.  Mini but Powerful, Portable with 3 Speeds, Quiet Table Personal Fan, 360 Rotate Coolness, Small for Home, Office, Bedroom, Desktop, Travel, USB Powered, Black, Desk "
134,$10.59 ,Adhesive Socket Holder,"Low-cost mounting supplies to secure power adapters inside enclosures; consumed as shop supplies. Punch-Free, 10Pcs Power Stirp Holder and 40Pcs Cable Clips Kit, Self-Adhesive Power Strip Holder Wall Mount-Space-Saving and Easy to Install"
135,$14.83 ,Fire Blanket,"Safety equipment kept on hand for material-fueled fires; ongoing usefulness. 2025 Emergency, Fire Extinguisher Blanket, Fire Suppression Blanket, Flame Retardant Blanket Fire Safety Blanket for Home, Kitchen, School, Grill, Car, Office, Warehouse(40"" x 40"")"
136,$24.38 ,Dishcloth Hanger,"Reusable hardware used in drying stages before shaker-bar approach; supports part handling. Yamazaki Home Tower, Steel"
137,$10.47 , USB 2.0 Hi-Speed A/B Cable,"Inexpensive, replaceable cable enabling direct measurement logging; reduces manual entry errors. Tripp Lite,  Ferrite Chokes (M/M) 3-ft. (U023-003)"
138,$21.19 ,Powered USB Hub,"Durable electronics/power accessory to run enclosure vibrators continuously. RSHTECH 4 Port USB 3.0 Hub Splitter Portable Aluminum USB Data Hub Expander with Individual On/Off Switch and Universal 5V AC Adapter, 3.3ft USB 3.0 Cable (RSH-516)"
139,$15.77 ,"Wood Sheets Thin Lumber,  Walnut ",Direct material stock laser-cut into serialized ribs; fully consumed into product (COGS). Black Dark Unfinished Board for Crafts - Pack of 5 by Craftiff
140,$6.07 ,600 grit Sand paper,"Consumable abrasive for hand touch-ups during processing. 3M, Wet or dry, 9 in. x 11 inch, 600 Grit, Ultra Fine, 5 Sheets/Pack"
141,$9.53 ,2000 Grit Sand paper,"Very-fine consumable abrasive to smooth dried shellac for a professional finish. 12Pcs Wet or Dry Sandpaper Assortment Sandpaper for Wood Metal Furniture Hand Sander Sand Paper Set Sandpaper Sheets Cut for Use 9"" x 11""/12 Sheets"
142,$116.49 ,Air Assist Kit,"Long-life laser accessory providing adjustable airflow; cleaner cuts and lens clarity. SCULPFUN S9, Clean Cut Engraving, High Speed Full Metal Air Assist with 2M Air Pipe, 30L/min Adjustable High Speed Airflow, for S9 Laser Engraver Perfect Upgrade S10 Set"
143,$15.74 , AC/DC Adapter Charger ,"Replacement power supply restoring receipt-scanning capability for records. SupplySource, Epson Workforce ES-200 ES-300W ES-300WR Power Supply"
144,$317.99 ,10W Laser Engraver,"Major production engraver/cutter; multi-year precision equipment for wood/plastic.SCULPFUN S9 Pro,  0.06mm High Precision Laser Engraving Machine, Up to 20mm Wood 15mm Acrylic Laser Cutter, Laser Engraver Machine for Wood Metal Acrylic Leather"
145,$40.27 ,De-Waxed Blonde Shellac Flakes,Finishing material consumed to make coating solution for ribs.  1 lb. (16oz.)
146,$13.99 ,99% Isopropyl Alcohol,Consumable solvent used to clean brushes and condition finish between coats. USP Grade - 99 Percent Concentrated Rubbing Alcohol (1 Liter / 33.8 Oz)
147,$63.59 ,Rock Tumbler Machine,"Durable mixer used to dissolve shellac flakes uniformly into 99% IPA. Leegol Electric, Single Drum 3LB Rock Polisher (Single Barrel),"
148,$18.01 ,White Knit Cotton T-Shirt Cloth Wiping Rags,"Disposable filter/cleanup cloths for shellac solution preparation; consumed in use.  SupremePlus Premium, Shop Cleaning Tshirt Cloths in, Staining & Finishing Rag for Auto, Grease, Paint & Wood (1 Pound Bag)"
149,$413.39 ,Rolling Cabinet Workbench Table,"Long-life workstation/furniture for staging tools/materials across production stages. Seville Classics UltraHD Heavy Duty w/Solid Wood Top Workstation for Garage, Office, Workshop, 6-Drawer (28"" W x 25"" D), Granite"
150,$74.19 ,Honeycomb Laser Bed,"Long-life table/fixture improving cut quality and heat dissipation; protects base table. SCULPFUN, Honeycomb Working Table 400x400x22mm for CO2 or Diode Cutting Machine, for Smooth Edge Cutting, Fast Heat Dissipation, Table-Protecting"
151,$27.02 ,Ink Cartridges Set,"Printing consumables used in routine business/record tasks. Brother Printer LC30113PKS 3-Pack, Standard, Up To 200 Pages/Cartridge LC3011 Ink, Cyan/Magenta/Yellow"
152,$23.29 ,Paper Cutter,"Reusable office/records tool to trim SOPs, labels, and documentation to standard sizes.  Paper Slicer with Safety Guard and Blade Lock, 12"" Cut Length Guillotine Paper Cutter with 16 Sheet Capacity, Paper Cutters and Trimmers for Cardstock Cardboard (Gray)"
153,$22.25 ,Vacuum Sealer Rolls,"Packaging/processing supplies once used for controlled heating; now consumed/retired from process. EverFresh 11"" x 25', Vacuum Sealer Bags-Vacuum Sealer Machine-Food Sealer Bag-Rolls Compatible with FoodSaver Machines-4 Pack-15% thicker embossing than leading supplier."
154,$7.41 ,Twist Cable Cord Wire Ties ,"Low-cost, adjustable fasteners to stabilize ribs during dipping for even coating; consumed. Sunmns 250 Piece  Reusable Fastening (6 Inch, White)"
155,$23.31 ,Cleco Fasteners ,"Reusable shaping fixtures for precise, even pressure on ribs; long service life. Metal Magery 1"" Heavy Duty Side Grip, Clamp Set of 5"
156,$12.67 ,Cleco Plier with Vinyl Grips,Durable hand tool to actuate Clecos with controlled clamping force.
157,$9.53 ,USB Wall Charger ,"Reusable power accessories that energize ring lights/phone mounts where USB is absent. USB Plug, , 3 Pack, GiGreen Dual Port USB Electrical Plug Cube 5V 2.1A Charging Block USB Outlet Plugs Compatible iPhone 15 14 13 12 11 X 8,Samsung S24 S23 S20 S10 S9 S8 Note 20,LG,Moto"
158,$10.59 ,Silica Gel Packs,"Consumable desiccants trialed for accelerated drying; no enduring value and not capitalized.  150 Pcs 2 Gram Moisture Absorbers, Silica Gel Desiccant Packs for Storage, Silica Gel Packets Food Grade Orange to Green Indicating for Moisture"
159,$25.43 ,Square Blocking Board,"Reusable alignment jig for 3D-printed molds; reduces misalignment/rework.  13"" Crochet Board for Crocheting with 15 Stainless Steel Rods, Crochet Blocking Board with Pegs"
160,$5.83 ,Protractor Angle Finder,"Durable grain-direction/angle checker for material selection and QC. CUTHARD Stainless Steel 180 Degree, Rotary Measuring Ruler Silver"
161,$190.79 ,3D Printer Table,"Dedicated workstation improving access, staging, and flow long-term.  40 PCS Filament Storage, Rolling 3D Printer Stand Workstation Desk Cart Rack, 3D Printer Accessories for 3D Printing Studio Home Office Workshop"
162,$15.89 ,Bar Clamps,"Reusable clamps/fixtures providing controlled pressure during ornament shaping. LISHINE 4 Inch Clamps for Woodworking, 8 Pack Quick Grip Clamps Trigger Clamp One Handed Ratchet Clamp, Mini Small Bar Clamp for Craft"
163,$5.84 ,Applicator,Low-cost brush used to smooth/apply shellac during finishing. Titebond 16330 TiteBrush 
164,$13.35 ,Digital Thermometer,"Reusable instrument for precise water-bath/steam setpoint control. Waterproof Instant Read Food Thermometer for Cooking and Grilling, Kitchen Gadgets, Accessories with Backlight & Calibration for Candy, BBQ Grill, Liquids, Beef, Turkey"
165,$31.59 ,Digital Moisture Meter,"Durable tester to verify rib moisture before/after heat. General Tools MMD4E, Water Leak Detector, Moisture Tester, Pin Type, Backlit LCD Display With Audible and Visual High-Medium-Low Moisture Content Alerts, Grays"
166,$9.32 ,Digital Hygrometer,"Environmental monitor to track temp/RH affecting soak/dry. ThermoPro TP49, Indoor Thermometer Humidity Meter Room Thermometer with Temperature and Humidity Monitor Mini Hygrometer Thermometer"
167,$15.85 ,Inlay Templates,"Reusable templates to check/standardize bend radii and curvature. inBovoga 4 Pcs Circle, Router Jig and Templates for Woodworking, Router Jig Template Decorative"
168,$23.32 ,Work Gloves,"PPE for safe handling of hot containers/parts; consumed over time. Wonder Grip WG338L Insulated Double-Dipped Incredibly Comfortable, Latex Coated Water Resistance, Black Palm, Large, Orange"
169,$15.85 ,Epoxy Adhesive,"Fast-cure adhesive consumed during bond-up of ribs/keystone. System Three Quick Cure 15, Cartridge, 50ml"
170,$74.19 ,Ring Light,"Adjustable inspection/recording light to standardize photo/record quality for QC and documentation. Evershop , Has Stand Overhead Camera Mount Phone Holder,10"" Ring Light Tripod for iPhone,Circle Led Selfie Light Halo Light for Video Recording,Photography,Streaming,Vlog,TikTok,YouTube"
171,$35.23 ,Baby Sleep Soother,"Repurposed device providing mechanical vibration for leveling/drip-off.  3 Vibration Intensities and 3 Vibration Modes,Type-C Fast Charging 1 Hour Cut-Off Timer"
172,$49.38 ,PLA Basic Jade White (1 kg),Printing material consumed to make molds/fixtures.
173,$309.12 ,Bambu Lab A1 3D Printer - A1,"Major asset to fabricate custom tooling, brackets, and jigs."
174,$51.12 ,PLA Matte - Matte Ivory White (11100) / Filament with spool / 1kg,Printing material consumed to make molds/fixtures.
175,$44.33 ,Bambu Smooth PEI Plate with Glue - X1 Series/P1 Series/A1 / Glue Stick,Reusable build-surface accessory improving print reliability.
176,$58.08 ,Maple Wood Strips,"Research/production stock consumed in bending trials.  5 Pieces 1/16"" x 1/4"" x 18"" Long Crafts Models Miniatures"
177,$51.10 ,"Wood Strips, Walnut","Consumable test stock for bending/parameter discovery. x10 1/16"" x 1/4 x 6"" Long Crafts Models Miniatures"
178,$42.93 ,"Wood Sheets Thin Lumber,  Walnut ","Raw sheet used/consumed in early trials.  1/16"""" x 3"""" x 12"""" long Sanded Kiln Dried Woodworking"""
179,$84.79 ,Compact Router Table ,"Durable flat work surface enabling safe edge-profiling. Mini Palm / Trim Router Benchtop, Multiple Brands, Dewalt, Milwaukee, Makita, Ryobi, Ridgid, Bosch, Hurcules, Bauer,"
180,$370.99 ,Tripod Standing Desk Pro,Reusable furniture improving ergonomics and mobile data capture.
181,$129.99 ,SCULPFUN B1 Enclosure For Laser,Long-life enclosure/venting infrastructure for particulates.
182,$69.99 ,SCULPFUN Laser Rotary Roller For,Durable accessory to rotate parts for cylindrical engraving.
183,$84.84 ,Workbench Mount Kit for Boom Arm,Permanent mounting fixture for dust-extraction boom.
184,$99.59 ,Mini Benchtop Drill Press,Long-lived production tool for keyed bores/keystone prep.
185,$229.99 ,7-Tier NSF 22-Bin Rack,Storage fixture organizing consumables/parts with ongoing benefit.
186,$19.95 ,"Wood Turning Blank Squares, Walnut ","Raw stock consumed to make precision dowels/keystones. 1"" x 1"" (4 Pcs)"
187,$0.00 ,Adjustable Height Workbench,"Stable workstation improving accuracy, ergonomics, and safety."
188,$0.00 ,Bench Top Mini Cut-off Saw,Long-life cutting tool for precise small-stock cuts.
189,$0.00 ,Broom,Low-cost cleaning supply for debris removal between cycles.
190,$0.00 ,Cable Ties,Disposable organizers for cables/hoses; reduce hazards/downtime.
191,$9.84 ,Clear Gorilla Glue 3.75 oz,Adhesive consumed for rib-to-keystone bonds on sealed surfaces.
192,$0.00 ,Collapsible Outdoor Utility Wagon,Reusable material-handling aid for inbound/outbound moves.
193,$0.00 ,Deluxe Wiring Kit,Reusable specialty kit to prepare hanging wires for dipping.
194,$25.00 ,Digital Caliper,Durable precision gage for L/W/H checks across stages.
195,$5.00 ,Dipping Bowl (obsolete),Low-cost process aid for controlled water application during glue-up.
196,$1.69 ,Distilled Water,Consumable process fluid for soak/heat; prevents mineral contamination.
197,$0.00 ,Dual Laptop Monitor Extender,Reusable accessory expanding workstation display area.
198,$5.00 ,Dual-Angle Sanding Sponge,Abrasive consumable for refining dried shellac on curves.
199,$0.00 ,Z-Twist Red Hybrid Disposable Earplugs,Disposable PPE to protect hearing during cutting/drilling; reduces fatigue.
200,$0.00 ,FreeCAD,Parametric modeling used early for mold/jig design; now superseded.
201,$5.00 ,Funnel,Low-cost process aid to return distilled water to storage without contamination.
202,$0.00 ,Gage Blocks,Reusable calibration standards to verify digital caliper accuracy.
203,$0.00 ,GitHub,Version control for design/docs/data; centralized traceability.
204,$0.00 ,Glue Stick,Consumable adhesion layer improving 3D-print first-layer reliability.
205,$5.00 ,Imperial Precision Intersection X-Y Ruler Marker,Durable measuring/marking tool for quick defect ID and layout.
206,$119.88 ,Indoor Camera subscription,Long-life camera for security/situational awareness of workspace.
207,$0.00 ,Labels,"Consumables to identify jars, drawers, solutions; supports traceability."
208,$0.00 ,Laptop 2 (Obsolete),Computer used with inspection tools; now aging but capital hardware.
209,$0.00 ,Laptop Link Cable for MetaQuest 3,Reusable high-speed tether enabling AR/VR design sessions.
210,$0.00 ,Letter Printer Paper,Office consumable for maintenance/records printouts.
211,$99.00 ,LightBurn Software License Key,Enduring production software enabling precise laser operations. License key
212,$5.00 ,Liquid Dropper (used),Minor tool once used for moisture dosing; now retired.
213,$5.35 ,Lithium Battery,Button cells consumed by gauges for precision measurement. Package comes with 2. CR2032
214,$0.00 ,MetaQuest 3,AR/VR hardware to visualize and refine printable mold designs.
215,$35.00 ,Mighty Scope,Long-life microscope for detailed surface/defect inspections.
216,$0.00 ,Miniature Cutters,Reusable hand tools to trim zip ties/filament; general utility.
217,$0.00 ,Nestable Crate,Reusable containers to stage/transport ribs between operations.
218,$0.00 ,Office Organizer,Durable desk organizer improving access to small supplies.
219,$0.00 ,Paraffin Wax,Material consumed to cast slip formers for shaping support.
220,$0.00 ,Pencils,Low-cost marking consumables for orientation and cut lines.
221,$5.00 ,"Pliers, Long Needle Nose",Durable tool for holding ribs during shellac smoothing.
222,$79.95 ,Light Spring Scale,Instrument to quantify bond strength (tensile force) for adhesive tests.
223,$21.25 ,Desktop Punch,"Long-life office tool to archive maintenance instructions, procedures and records.3 Hole Punch with Ergonomic Handle, 30 Sheet Capacity, Blac"
224,$5.00 ,Refillable College Ruled Notebook,Consumable for maintenance logs/troubleshooting notes.
225,$100.00 ,Rolling Whiteboard,Reusable collaboration board for planning and workflows.
226,$25.00 ,Dremel 2050-15 Stylo+ Versatile Craft Rotary Tool (Used),Power tool for serialization and pilot holes prior to dipping.
227,$5.00 ,Safety Goggles,Disposable/low-cost PPE protecting eyes during cutting/cleanup.
228,$5.00 ,Scissors,Low-cost hand tool for labels/templates and misc. trimming.
229,$0.00 ,Sealable Container,Reusable vessel enabling high-temp soak/conditioning.
230,$400.00 ,Solidworks Connected License,Subscription CAD for advanced parametric jig/form design.
231,$15.00 ,Soux Vide Precision Cooker Tub,Durable vessel to hold water for heat/steam conditioning.
232,$50.00 ,Soux Vide Precision Heater,Long-life heater maintaining 197.6°F for uniform softening.
233,$228.44 ,Steam Generator,Capital equipment producing steam for plasticization.
234,$5.00 ,Tall Kitchen Bags,Disposable liners for waste collection/removal.
235,$5.00 ,Ultra Fine Permanent Marker,Low-cost labeling pen for jars/tools/areas.
236,$21.99 ,Vacuum Sealer (Obsolete),Initially for moisture retention; removed from process.
237,$0.00 ,Watch,Durable timing instrument for process start/stop tracking.
238,$5.00 ,Whiteboard Markers,Consumable markers for rolling whiteboard.
239,$5.00 ,Windex,Cleaning consumable to maintain whiteboard usability.
240,$5.00 ,Wrench,Durable hand tool for laser Y-axis eccentric nut adjustment.
241,$29.99 ,Large Grey Bin,Reusable bin for organizing materials/components.
242,$8.98 ,Square Paint Brush,Finishing brush; replaced as worn during shellac work.
243,$154.75 ,Klein Tools Digital Electronic Level,Precision level for rotary roller/laser X-axis alignment.
244,$100.00 ,LLM (Claude),Paid AI service to accelerate analysis/drafting.
245,$476.00 ,Fusion 360 -Autodesk,Annual CAD/CAM subscription for jigs/fixtures and models.
246,$240.00 ,LLM (ChatGPT),Paid AI service to accelerate analysis/drafting.
247,$52.99 , ADOBE  408-536-6000,Adobe subscription expense for creative/design tooling.
248,$116.49 ,Microsoft 365 ,SaaS productivity suite for documents/sheets/mail. (current rate)
249,$7.41 ,Microsoft 365 (1 month rate),SaaS productivity suite for documents/sheets/mail. (prior rate)
250,$258.38 ,Workbench,"Durable adjustable bench supporting shop tasks. Seville Classics UltraHD Adjustable Height 48"" W x 24"" D x 28.5"" - 42"" H"
251,$161.97 ,Substance 3D Collection,Adobe 3D/VR design subscription for jig/fixture experiments.
252,$130.78 ,Substance 3D Collection,Same—subscription used for VR-assisted design.
253,$200.00 ,"CC_S01: ShopSabre CNC Sign-off (Nova Labs, 3850 Jermantown Rd, Fairfax VA (Classrom 1 & CNC Shop",Training/sign-off fee to access makerspace CNC.
254,$25.00 ,NovaLabs Membership Application Fee,Administrative/membership operating fee.
255,$119.70 ,"Wood Dowel Rods, Walnut","I purchased the wooden dowels to cut into shorter lengths to produce keystones which assemble the ornamental ribs. The wooden dowel is milled on a CNC into a dimensionally accurate design. 7/8"" x 36"""
256,$5.00 ,Tape measure,I purchased a tape measure to mark off dimensions.
257,$175.00 ,INCOSE Annual Membership,I access Innoslate through this membership and my affiliation.
258,"$1,659.99 ",Alienware Laptop,"All my administrative, design, bill paying needs."
259,$209.99 ,Rolling Workstation,UltraHD®  - Granite
260,$179.99 ,2-Drawer Rolling Cabinet,UltraHD®  - Granite
261,$279.99 ,Rolling Storage Cabinet,UltraHD®  - Granite
262,$269.99 ,Rolling Cabinets,UltraHD®  - Granite Gray / 3-Drawer
263,$179.00 ,7-Tier NSF 12-Bin Rack,
264,$26.49 ,Electric  Kettle,I use this to boil water during the moisture functional process.  The hot water is measured for 190 degrees.  I place the ornamental ribs in the water for approximately 30 minutes.
265,$240.00 ,"WW_S02: Planer, Jointer, Thickness Sander (Materials Prep) Sign-off (Nova Labs)",Training expense to qualify on material-prep machines.
266,$960.00 ,NOVA Labs Membership,Enable facility access and equipment authorization. 
267,$90.00 ,"Air-Dried lumber, Black Walnut",Source air-dried black walnut from trusted local supplier. 18 feet of lumber at $5 a foot. 4 ornaments can be produced per foot.
268,$7.70 ,Vehicle Mileage (11 mi RT),Transport raw lumber to facility and finished planks home
269,$345.00 ,Rent (15% of 800 square feet),Overall facility support systems and operational infrastructure
270,$309.12 ,Bambu Lab A1 3D Printer - A1,"Major asset to fabricate custom tooling, brackets, and jigs."
271,$5.00 ,Coffee filters/Strainers,I purchased to strain shellac residue from the shellac mixture.
272,$5.00 ,Hang Tags,I purchased these to add my business name to them and hang from my product.
273,$5.00 ,Eyelet Screws,Hanger mechanism that screws into the keystone. It secures the ornament hanger.
274,$84.84 ,Workbench Mount Kit for Boom Arm,I use this to elevate a cylidrical channel over a targeted area.  It is part of a vacuum system I have installed for each custom made enclosure.
275,$15.37 ,1.5-Inch Schedule 40 Furniture Grade PVC Pipe (2-foot section),I use this pipe to reconfigure my MULLET Dust Cyclone for a new vacuum (StealthShopVac)
276,$3.05 ,Galvanized flat washer(1/4),I purchased galvanized flat washers as part of an install for an extension shelf on a rolling cabinet to allow for a laser engraver and cutter enclosure to have sufficient space.
277,$12.16 ,Pan head screws #8 x 1/2 (100 pc),I purchased pan head screws as part of an install for an extension shelf on a rolling cabinet to allow  for a laser engraver and cutter enclosure to have sufficient space.
278,$24.35 ,"12"" crescent wrench, V-jaw",I purchased this crescent wrench to apply torque with sufficient leverage. 
279,$7.92 ,"Shockwave 3-1/2"" T25 Bit2 Pk",I purchased this to match the set of construction screws I purchased as part of an install for an extension shelf on a rolling cabinet to allow  for a laser engraver and cutter enclosure to have sufficient space.
280,$11.11 ,"1-5/8"" Construction screw 1 lb",I purchased these screws to install 3D printed brackets as part of an install for an extension shelf on a rolling cabinet to allow  for a laser engraver and cutter enclosure to have sufficient space.
281,$16.63 ,1x8 Poplar Board ,I purchased the board to serve as the shelving unit as part of an install for an extension shelf on a rolling cabinet to allow  for a laser engraver and cutter enclosure to have sufficient space.
282,$39.21 ,1x12 Poplar Board ,I purchased the board to serve as the shelving unit as part of an install for an extension shelf on a rolling cabinet to allow  for a laser engraver and cutter enclosure to have sufficient space.
283,$21.17 ,"Snap-lock 3/8"" mandrel",I purchased the DIABLO mandrel to secure the bi-metal hole saw that is used to put the proper size hole in the poplar board that extends the tabletop of a rolling cabinet to allow for a large laser engraver and cutter enclosure to create sufficient surface area. The  hole was for a fan that is part of a vacuum system. 
284,$19.05 ,"3"" B i-Metal Hole Saw",I purchased the DIABLO hole saw to put the proper size hole in the board that serves as the shelving unit that extends the tabletop off a rolling cabinet to allow for a laser engraver and cutter enclosure  to create sufficient surface area. The  hole was for a fan that is part of a vacuum system. 
285,$23.99 ,Leopardwood 1/4 x 5 x 24,I purchased this exotic wood to steam bend into an exotic woodform. I had to process the wood to get it to theproper thickness at NovaLabs Makerspace. This is a demo of a high-end steambent wood form.
286,$27.83 ,Zebrawood 1/4 x 5 x 25,I purchased this exotic wood to steam bend into an exotic woodform. I had to process the wood to get it to theproper thickness at NovaLabs Makerspace. This is a demo of a high-end steambent wood form.
287,$26.87 ,Wenge 1/4 x 5 x 26,I purchased this exotic wood to steam bend into an exotic woodform. I had to process the wood to get it to theproper thickness at NovaLabs Makerspace. This is a demo of a high-end steambent wood form.
288,$21.11 ,Padauk 1/4 x 5 x 27,I purchased this exotic wood to steam bend into an exotic woodform. I had to process the wood to get it to theproper thickness at NovaLabs Makerspace. This is a demo of a high-end steambent wood form.
289,$14.39 ,Cherry 1/4 x 5 x 28,I purchased this exotic wood to steam bend into an exotic woodform. I had to process the wood to get it to theproper thickness at NovaLabs Makerspace. This is a demo of a high-end steambent wood form.
290,$15.35 ,Oak White 1/4 x 5 x 29,I purchased this exotic wood to steam bend into an exotic woodform. I had to process the wood to get it to theproper thickness at NovaLabs Makerspace. This is a demo of a high-end steambent wood form.
291,$16.19 ,Mahogany 1/4 x 5 x 30,I purchased this exotic wood to steam bend into an exotic woodform. I had to process the wood to get it to theproper thickness at NovaLabs Makerspace. This is a demo of a high-end steambent wood form.
292,$1.56 ,Machine screw zinc comb #10-32,I purchased these screws to install a fan into the poplar  board that serves as the shelving unit as part of an install to extend the tabletop off a rolling cabinet to allow for a laser engraver and cutter to create sufficient surface area.. The  hole was for a fan that is part of a vacuum system.  
